,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,pl_dens
679,HD 136418 b,13.3,680.1562,464.29999,,1.29,,0.25,4989.0,3.78,1.59
680,HD 136925 b,13.9,266.97586188,4540.0,,5.13,,0.103,5773.19,1.193078,0.546
681,HD 13724 c,8.18,50.85254512,142.22895,,0.534,,0.651,5835.31,1.04198,0.511
682,HD 137388 b,9.32,63.566,330.0,,0.89,,0.36,5181.0,0.88,0.431
683,HD 137496 b,1.31,4.04,1.62116,2130.0,0.02732,,0.0,5799.0,1.59,10.49
684,HD 137496 c,12.6,2434.56559762,479.9,370.0,1.2163,,0.477,5799.0,1.59,6.69
685,HD 13808 b,3.35,11.2,14.1815,,0.10519,,0.071,5035.0,0.781,1.64
686,HD 13808 c,3.13,9.96,53.753,,0.2554,,0.156,5035.0,0.781,1.78
687,HD 13908 b,13.9,274.91,19.382,,0.154,,0.02,6255.0,1.67,0.562
688,HD 13908 c,12.8,1630.4,931.0,,2.03,,0.12,6255.0,1.67,4.27
689,HD 13931 b,13.2,889.9195396,4218.0,,5.15,,0.02,5867.0,1.25,2.13
690,HD 139357 b,12.1,6315.5682755,1124.79139,,2.949,,0.099,4700.0,11.47,19.6
691,HD 1397 b,11.500434,131.89945,11.53533,1228.3,0.1097,356.0,0.251,5521.0,2.336,0.477
692,HD 14067 b,12.2,4862.7746271,2744.0,,5.15,,0.65,4815.0,12.4,14.7
693,HD 140901 b,4.07,15.57359194,9.02378,,0.085,,0.472,5610.0,0.95,1.27
694,HD 140901 c,13.4,572.0911326,14386.0,,11.8,,0.77,5610.0,0.95,1.31
695,HD 141004 b,3.77,13.63483866,15.5083,,0.1238,,0.16,5885.38,1.389372,1.4
696,HD 141399 b,14.3,143.34133,94.44,,0.415,,0.04,5600.0,1.387236,0.269
697,HD 141399 c,13.6,422.7139,201.99,,0.689,,0.048,5600.0,1.387236,0.923
698,HD 141399 d,13.7,375.0394,1069.8,,2.09,,0.074,5600.0,1.387236,0.801
699,HD 141399 e,14.1,209.7678,5000.0,,5.0,,0.26,5600.0,1.387236,0.411
700,HD 141937 b,11.9,8714.85491994,653.21997,,1.5,,0.41,5870.0,1.03,28.4
701,HD 142 A d,10.9,82.63538582,108.45299,,0.474,,0.13,6245.0,1.47,0.351
702,HD 142 b,12.7,2256.5816897,351.43394,,1.039,,0.158,6245.0,1.47,6.05
703,HD 142 c,12.4,3464.64746471,10159.64279,,9.811,,0.277,6245.0,1.47,9.99
704,HD 142022 A b,12.9,1433.40611557,1928.0,,2.93,,0.53,5421.0,1.04,3.67
705,HD 142245 b,13.1,975.7381,1299.0,,2.78,,0.0,4922.0,4.63,2.39
706,HD 142415 b,13.5,530.7761,386.29999,,1.06,,0.5,5940.0,1.04,1.19
707,HD 143105 b,13.7,384.5743,2.1974,,0.0379,,0.07,6380.0,1.647304,0.822
708,HD 143361 b,12.9,1382.55357045,1039.15,,1.988,,0.197,5507.0,0.916,3.54
709,HD 143811 AB b,15.69257298,1938.7532827,117000.0,1042.0,63.0,,0.19,6791.0,1.68398,2.76
710,HD 144899 b,4.77,20.34101805,40.43914,,0.242,,0.821,6126.0,1.64802,1.03
711,HD 145377 b,12.8,1913.3366,103.95,,0.45,,0.31,6014.0,1.05,5.01
712,HD 145457 b,13.2,888.01256916,176.13,,0.762,,0.111,4757.0,9.9,2.12
713,HD 145675 c,12.6,2510.8444153,15732.45889,,20.0,,0.52,5338.0,0.93,6.9
714,HD 145934 b,13.4,658.5404593,2751.53433,,4.89,,0.078,4823.75,6.930587,1.5
715,HD 1461 b,2.42,6.44,5.77152,,0.0634,,0.172,5765.0,1.152288,2.5
716,HD 1461 c,2.23,5.59,13.5052,,0.1117,,0.305,5765.0,1.152288,2.77
717,HD 147018 b,13.4,674.0,44.236,,0.2388,,0.4686,5441.0,0.937948,1.54
718,HD 147018 c,12.7,2080.0,1008.0,,1.922,,0.133,5441.0,0.937948,5.58
719,HD 147379 b,4.94,21.6,86.58,,0.3193,,0.063,4090.0,0.628304,0.985
720,HD 147513 b,13.7,385.0,528.4,,1.32,,0.26,5883.0,0.98,0.823
721,HD 14787 b,13.7,356.28743,676.6,,1.7,,0.155,4946.0,5.01,0.761
722,HD 147873 b,12.8,1633.6462,116.596,,0.522,,0.207,5972.0,2.29,4.28
723,HD 147873 c,13.3,731.009,491.54,,1.36,,0.23,5972.0,2.29,1.71
724,HD 148156 b,13.9,270.144,1027.0,,2.45,,0.52,6308.0,1.21,0.553
725,HD 148164 b,13.7,390.9309,328.55,,0.993,,0.587,6032.0,1.34,0.835
726,HD 148164 c,12.8,1640.0028,5062.0,,6.15,,0.125,6032.0,1.34,4.3
727,HD 149026 b,8.29466,120.7754,2.87589,1626.0,0.04364,1095.91,0.0,6179.0,1.41,0.75
728,HD 149143 b,13.6,422.7139,4.07182,,0.053,,0.0167,5856.0,1.44,0.923
729,HD 149806 b,12.3,4003.68444298,16521.52778,,12.404,,0.357,5352.05,0.89,11.8
730,HD 150010 b,13.3,762.7881768,562.0,,1.4,,0.2,4153.0,16.2,1.78
731,HD 1502 b,13.2,874.0325,428.5,,1.262,,0.031,4947.0,4.67,2.09
732,HD 150706 b,13.3,772.32302901,5894.0,,6.7,,0.38,5961.0,0.96,1.8
733,HD 151450 b,6.94,38.45723725,21.89288,,0.16,,0.496,6091.98,1.17184,0.632
734,HD 151450 c,12.8,1636.18063924,18144.76236,,14.131,,0.138,6091.98,1.17184,4.29
735,HD 152079 b,13.2,845.74563,2918.92,,4.187,,0.532,5907.0,1.128,2.02
736,HD 152581 b,13.4,594.02427,686.5,,1.66,,0.04,5027.0,5.14,1.36
737,HD 152843 b,3.05,9.82,11.62071,1003.11,0.1049,265.4,0.046,6310.0,1.43,1.9
738,HD 152843 c,5.94,9.67,19.502104,253.08,0.1482,133.1,0.074,6310.0,1.43,0.253
739,HD 15337 b,1.77,6.519,4.7559804,1001.0,0.05245,404.5595,0.058,5131.0,0.855,6.458
740,HD 15337 c,2.526,6.792,17.180546,656.1,0.1235,45.0685,0.096,5131.0,0.855,2.303
741,HD 153557 b,4.77,20.34101805,7.29903,,0.068,,0.065,4837.0,0.745171,1.03
742,HD 153557 c,4.36,17.48056238,15.27018,,0.111,,0.511,4837.0,0.745171,1.16
743,HD 153557 d,11.9,8725.66108578,40654.64809,,21.449,,0.152,4837.0,0.745171,28.5
744,HD 153950 b,13.2,937.5985,499.39999,,1.28,,0.34,6124.0,1.28,2.24
745,HD 154088 b,2.46,6.6,18.56,,0.134,,0.344,5374.0,0.95,2.44
746,HD 154345 b,13.7,376.9444907,3280.0,,4.158,,0.058,5468.0,0.85,0.806
747,HD 154391 b,12.5,2892.2385037,5163.0,,7.46,,0.2,4909.0,8.56,8.14
748,HD 154672 b,12.8,1706.7471,163.94,,0.6,,0.61,5743.0,1.32,4.47
749,HD 154857 b,13.3,778.6835,408.60001,,1.29,,0.46,5589.0,2.3,1.82
750,HD 154857 c,13.2,819.97,3452.0,,5.36,,0.06,5605.0,1.76,1.96
751,HD 155193 b,14.0,238.37130525,352.65,,1.04,,0.21,6239.0,1.76439,0.477
752,HD 155358 b,13.8,314.6517,194.3,,0.63,,0.17,5905.0,1.38,0.658
753,HD 155358 c,13.9,261.0,391.9,,1.02,,0.16,5900.0,1.38,0.534
754,HD 155918 b,2.67,7.62788177,1.87567,,0.03,,0.194,5771.84,1.01906,2.2
755,HD 155918 c,12.8,1878.04805696,17202.19446,,13.183,,0.071,5771.84,1.01906,4.92
756,HD 156098 b,4.12,15.89142035,21.85849,,0.167,,0.109,6419.19,2.75716,1.25
757,HD 156098 c,12.8,1661.6069118,7841.5839,,8.415,,0.391,6419.19,2.75716,4.35
758,HD 156279 b,12.5,2997.75753482,133.40355,,0.502,,0.647,5453.0,0.95,8.43
759,HD 156279 c,12.5,3098.82696825,4818.25358,,5.486,,0.261,5453.0,0.95,8.72
760,HD 156411 b,14.0,235.18,842.2,,1.88,,0.22,5900.0,2.16,0.471
761,HD 156668 b,1.87,4.15,4.6455,,0.05,,0.0,4850.0,0.72,3.49
762,HD 156668 c,6.17,31.49679513,811.3,,1.57,,0.089,4903.69,0.774528,0.737
763,HD 156846 b,12.4,3391.2461,359.51001,,1.12,,0.85,6090.0,1.9,9.77
764,HD 158038 b,13.5,486.2799,521.0,,1.5,,0.29,4860.0,4.5,1.09
765,HD 158259 b,1.28228,2.22,2.178,1462.0,,759.183,,5801.89,1.21,6.12
766,HD 158259 c,2.23,5.6,3.432,,,,,5801.89,1.21,2.77
767,HD 158259 d,2.18,5.41,5.1980814,,,,,5801.89,1.21,2.87
768,HD 158259 e,2.34,6.08,7.951,,,,,5801.89,1.21,2.61
769,HD 158259 f,2.35,6.14,12.028,,,,,5801.89,1.21,2.6
770,HD 158996 b,12.3,4449.62,820.2,,2.1,,0.13,4069.0,50.3,13.1
771,HD 15906 b,2.24,5.65,10.924709,668.0,0.09,33.14,0.11,4757.0,0.762,2.76
772,HD 15906 c,2.93,8.91,21.583298,532.0,0.141,13.37,0.04,4757.0,0.762,1.95
773,HD 159243 b,13.7,359.13,12.62,,0.11,,0.02,6123.0,1.12,0.767
774,HD 159243 c,13.4,603.9,248.4,,0.8,,0.075,6123.0,1.12,1.38
775,HD 159868 b,13.3,704.94694,1184.1,,2.32,,0.024,5534.0,2.13,1.65
776,HD 159868 c,14.0,244.09344,351.0,,1.032,,0.184,5534.0,2.13,0.489
777,HD 1605 b,13.8,296.85322,577.2,,1.492,,0.095,4915.0,3.49,0.621
778,HD 1605 c,13.0,1150.5446,2149.0,,3.584,,0.099,4915.0,3.49,2.88
779,HD 160691 b,,1366.6621501,645.0,,1.5,,0.0505,5773.0,1.33,
780,HD 160691 c,,1398.4449908,3947.0,,4.17,,0.039,5773.0,1.33,
781,HD 160691 d,3.23,10.49,9.6392,900.0,0.0952,,0.0,5773.0,1.33,1.71
782,HD 160691 e,,2224.798849,307.9,,0.96,,0.0666,5773.0,1.33,
783,HD 161178 b,14.1,181.16219199,279.3,,0.85,,0.044,4786.0,10.95,0.355
784,HD 16141 b,10.9,82.6358,75.523,,0.36,,0.25,5757.0,1.48,0.351
785,HD 16175 b,12.8,1875.1876013,990.0,,2.12,,0.6,5981.0,1.72,4.91
786,HD 162020 b,12.5,3127.4472,8.4282,650.0,0.08,,0.28,4723.0,0.75,8.8
787,HD 163607 b,13.9,249.051588,75.2203,,0.362,,0.7441,5522.0,1.76,0.51
788,HD 163607 c,13.3,699.54383,1272.0,,2.39,,0.08,5522.0,1.76,1.63
789,HD 16417 b,5.0,22.1,17.24,,0.14,,0.2,5841.0,1.639984,0.972
790,HD 164509 b,14.3,140.79869,280.17,,0.87,,0.238,5859.0,1.11,0.265
791,HD 164595 b,4.16,16.14,40.0,,0.23,,0.088,5790.0,1.023606,1.23
792,HD 164604 b,12.3,4195.3349724,653.9,,1.362,,0.479,4663.0,0.78,12.4
793,HD 164604 c,12.5,3019.3698665,5387.0,,5.556,,0.196,4663.0,0.78,8.49
794,HD 164922 b,13.3,116.0,1207.0,159.4,2.16,0.1578,0.08,5390.0,0.946,0.271
795,HD 164922 c,3.66,13.0,75.74,400.5,0.341,6.29,0.12,5390.0,0.946,1.46
796,HD 164922 d,1.83,4.0,12.458,,0.103,,0.12,5390.0,0.946,3.59
797,HD 164922 e,3.23,10.52012027,41.763,,0.2292,,0.086,5393.43,1.001813,1.72
798,HD 165131 b,12.1,5943.3912109,2342.6,,3.54,,0.6708,5870.0,1.06419,18.4
799,HD 165155 b,13.2,918.5287,434.5,,1.13,,0.2,5426.0,0.95,2.19
800,HD 1666 b,12.7,2040.0,270.0,,0.94,,0.63,6317.0,1.93,5.47
801,HD 166724 b,13.0,1207.7479466,5144.0,,5.42,,0.734,5127.0,0.797485,3.02
802,HD 167042 b,13.6,444.00628458,417.67,,1.22,,0.01,4919.0,4.63,0.97
803,HD 167677 b,13.2,905.81095995,1820.0,,2.877,,0.182,5474.0,0.95271,2.16
804,HD 167768 b,13.9,270.15414595,20.6532,,0.1512,,0.149,4851.0,9.7,0.553
805,HD 168009 b,3.05,9.53485221,15.1479,,0.1192,,0.12,5778.33,1.209505,1.85
806,HD 168443 b,12.6,2424.3950886,58.11187,,0.292,,0.53,5491.0,1.711479,6.66
807,HD 168443 c,12.2,5500.33841154,1753.1096,,2.842,,0.21,5491.0,1.711479,16.6
808,HD 168746 b,11.1,85.8141,6.404,900.0,0.07,,0.11,5570.0,1.09,0.345
809,HD 168863 b,12.7,2154.87659946,14773.93272,,10.961,,0.187,4905.0,0.777826,5.78
810,HD 1690 b,12.5,2793.7257,533.0,,1.36,,0.64,4374.0,21.66,7.86
811,HD 16905 b,12.4,3591.4609991,10256.0,,8.8,,0.68,4866.12,0.77494,10.4
812,HD 169142 b,13.1,953.485221,,,37.2,,,7246.0,1.53702,2.33
813,HD 169830 b,13.2,804.42369812,225.67372,345.0,0.765,,0.294,6300.0,1.935709,1.92
814,HD 169830 c,12.6,2437.42605328,1818.82339,,3.075,,0.246,6300.0,1.935709,6.7
815,HD 170469 b,14.1,209.7678,1145.0,,2.24,,0.11,5842.0,1.24,0.411
816,HD 17092 b,12.5,3219.6179,359.89999,,1.31,,0.17,4326.0,13.58,9.06
817,HD 171028 b,13.2,832.7146,550.0,,1.32,,0.59,5671.0,2.47,1.99
818,HD 171238 b,12.5,2796.8899816,1515.0,,2.518,,0.358,5467.0,1.01,7.87
819,HD 17156 b,12.26262489,1036.12060682,21.2164294,888.0,0.1632,68.8,0.6772,6046.0,1.517,3.08
820,HD 173416 b,13.4,585.12209729,322.03,,1.158,,0.208,4683.0,13.5,1.34
821,HD 174205 b,13.0,1334.8793094,582.0,,1.7,,0.4,4308.0,26.6,3.34
822,HD 175167 b,12.3,4703.8604236,1175.0,,2.4,,0.51,5635.0,1.75,13.9
823,HD 175541 b,14.1,190.06234,298.43,,0.975,,0.11,5013.0,4.19,0.373
824,HD 175607 b,,2456.1779293,29.01,,,,0.11,5392.0,0.7,
825,HD 17674 b,13.9,276.5121,623.8,,1.42,,0.13,5904.0,1.18,0.566
826,HD 176986 b,,1487.75477317,6.49164,767.0,0.062956,81.7,0.066,4931.0,0.782,
827,HD 176986 c,,2097.98531461,16.8124,558.0,0.11873,22.9,0.111,4931.0,0.782,
828,HD 176986 d,2.49,6.76,61.376,363.0,0.28149,4.09,,4931.0,0.782,2.41
829,HD 177565 b,4.0,15.1,44.505,,0.246,,0.0593,5627.0,0.971489,1.3
830,HD 177830 b,13.5,537.1327,410.10001,,1.14,,0.1,4901.0,3.26,1.2
831,HD 177830 c,7.87,47.6725,110.9,,0.5137,,0.3,4949.0,2.62,0.537
832,HD 178911 B b,12.6,2552.1749,71.484,,0.34,,0.11,5588.0,1.08,7.01
833,HD 179079 b,,4195.3349724,14.479,,0.1214,,0.049,5646.0,1.63,
834,HD 179949 b,13.9,291.12,3.092514,,0.0443,,0.022,6168.0,1.266865,0.596
835,HD 180053 b,13.3,697.31902,213.72,,0.843,,0.081,5131.0,4.06,1.63
836,HD 18015 b,13.1,1048.8337431,2278.0,,3.87,,0.148,5603.0,3.13,2.56
837,HD 180314 b,12.0,7216.92963775,394.73,,1.448,,0.247,4917.0,9.2,22.9
838,HD 180617 b,3.53,12.214,105.911,,0.343,,0.101,3534.0,0.481,1.53
839,HD 180902 b,13.5,535.54355,510.9,,1.4,,0.107,4961.0,4.16,1.2
840,HD 181234 b,12.5,2980.91262925,7593.40512,,7.427,,0.726,5386.0,1.059423,8.39
841,HD 181342 b,13.2,807.2882,564.1,,1.592,,0.022,4945.0,4.71,1.93
842,HD 18143 b,3.28,10.80616584,10.2851,,0.088,,0.224,5078.0,0.87,1.68
843,HD 18143 c,12.5,3177.64841319,28982.41764,,17.53,,0.194,5078.0,0.87,8.94
844,HD 181433 b,,1708.64551603,9.3745,,0.0828,,0.396,4918.0,0.79,
845,HD 181433 c,,2207.00045821,1018.5,,1.885,,0.2402,4918.0,0.79,
846,HD 181433 d,13.2,858.1366989,6896.1,,6.74,,0.444,4918.0,0.79,2.05
847,HD 181720 b,14.0,127.132,956.0,,1.85,,0.26,5736.0,1.5,0.255
848,HD 183263 b,13.1,1103.1824007,624.87404,,1.46,,0.383,5948.0,1.23,2.7
849,HD 183263 c,12.5,2958.98246917,4667.97841,,5.585,,0.051,5948.0,1.23,8.32
850,HD 183579 b,3.49,20.4,17.471291,752.0,0.1322,58.1,0.061,5784.0,0.96,2.65
851,HD 184010 b,12.1,98.52680617,286.6,,0.94,,0.0,4971.0,4.86,0.306
852,HD 184010 c,11.8,95.3485221,484.3,,1.334,,0.0,4971.0,4.86,0.319
853,HD 184010 d,14.3,143.02278315,836.4,,1.92,,0.0,4971.0,4.86,0.269
854,HD 18438 b,12.1,6674.396547,803.0,,2.1,,0.1,3860.0,88.475,20.7
855,HD 185269 b,13.8,321.0083,6.83776,,0.077,,0.229,5923.0,2.0,0.671
856,HD 185283 b,13.6,413.1769291,4060.0,,4.6,,0.07,4848.0,0.743303,0.903
857,HD 18599 b,2.6,24.1,4.1374354,863.0,0.048,145.0,0.34,5145.0,0.767,7.5
858,HD 187085 b,13.9,265.70588,1019.74,,2.1,,0.251,6117.0,1.27,0.544
859,HD 187123 b,14.2,166.218,3.0965828,,0.0426,,0.0103,5790.0,1.15043,0.319
860,HD 187123 c,13.2,912.16752809,3810.0,,4.89,,0.252,5790.0,1.15043,2.18
861,HD 18742 b,13.1,1080.622,766.0,,1.82,,0.04,4940.0,5.13,2.64
862,HD 188015 b,13.6,476.72,461.2,,1.203,,0.137,5746.0,1.125296,1.04
863,HD 188641 b,11.9,9333.03117155,14583.81038,,12.027,,0.034,5897.32,1.94492,30.4
864,HD 189567 b,2.85,8.5,14.288,,0.111,,0.189,5726.0,1.04,2.02
865,HD 189567 c,2.54,7.0,33.688,,0.197,,0.16,5726.0,1.04,2.35
866,HD 189733 b,12.66617,359.1479,2.21857567,1209.0,0.03126,356.0,0.0,5052.0,0.75,0.943
867,HD 190007 b,4.06,15.5,11.724128,,0.092,,0.136,4610.0,0.79,1.27
868,HD 190228 b,12.9,1598.67688721,1143.59858,,2.406,,0.559,5360.0,2.58658,4.09
869,HD 190360 b,13.5,533.95172376,2892.0,150.0,3.963,,0.3184,5552.0,1.201,1.19
870,HD 190360 c,5.44,25.42627256,17.1173,,0.1296,,0.165,5552.0,1.201,0.868
871,HD 190647 b,13.4,630.89255,1176.45,,2.231,,0.224,5656.0,1.376,1.44
872,HD 190984 b,13.0,1137.82569706,4885.0,,5.5,,0.57,5988.0,1.53,2.85
873,HD 191806 b,12.5,2966.61035094,1603.38923,,2.749,,0.213,6010.0,1.40223,8.35
874,HD 191939 b,3.41,10.0,8.8803256,880.0,0.0804,100.0,0.031,5348.0,0.94,1.4
875,HD 191939 c,3.195,8.0,28.579743,600.0,0.1752,21.0,0.034,5348.0,0.94,1.35
876,HD 191939 d,2.995,2.8,38.353037,540.0,0.2132,14.3,0.031,5348.0,0.94,0.57
877,HD 191939 e,13.0,112.2,101.12,390.0,0.407,3.9,0.031,5348.0,0.94,0.281
878,HD 191939 f,13.2,915.34581216,2898.0,125.0,3.71,,0.0,5348.0,0.94,2.19
879,HD 191939 g,3.74,13.5,284.0,278.0,0.812,0.99,0.03,5348.0,0.94,1.42
880,HD 192263 b,14.2,177.9848,24.3556,486.0,0.15,,0.05,4976.0,0.74,0.342
881,HD 192310 b,4.27,16.9,74.72,355.0,0.32,,0.13,5166.0,0.857922,1.19
882,HD 192310 c,5.25,24.0,525.8,185.0,1.18,,0.32,5166.0,0.857922,0.911
883,HD 192699 b,13.4,666.17168,340.94,,1.063,,0.082,5041.0,4.41,1.52
884,HD 194490 b,12.4,3561.90295725,13092.18348,,11.116,,0.251,5861.32,1.14911,10.3
885,HD 195019 b,13.0,1264.9634,18.20132,,0.14,,0.01,5751.0,1.48,3.16
886,HD 196050 b,12.9,1493.7935129,1392.0,,2.65,,0.2,5879.0,1.42,3.82
887,HD 196067 b,12.4,3623.2438398,3413.7,,4.71,,0.56292,6072.0,1.71,10.4
888,HD 196067 c,3.21,10.4,4.601088,,,,0.235,6072.0,1.71,1.73
889,HD 19615 b,12.6,2701.5414595,402.0,,1.1,,0.2,4263.0,32.3,7.42
890,HD 196885 A b,13.2,819.97,1333.0,,2.37,,0.48,6254.0,1.31,1.96
891,HD 197037 b,13.9,251.0,1035.7,,2.07,,0.22,6150.0,1.105,0.514
892,HD 199509 b,7.43,43.22466335,99.62167,,0.426,,0.373,5796.02,0.92,0.579
893,HD 19994 b,13.6,435.41,466.2,,1.305,,0.063,6188.0,1.79647,0.951
894,HD 20003 b,3.43,11.66,11.8482,,0.0974,,0.36,5494.0,0.921637,1.59
895,HD 20003 c,3.89,14.44,33.9239,,0.1964,,0.1,5494.0,0.921637,1.35
896,HD 200964 b,13.5,508.21017,606.3,,1.565,,0.087,4982.0,4.92,1.14
897,HD 200964 c,13.7,385.84562,852.5,,1.96,,0.243,4982.0,4.92,0.825
898,HD 202206 c,12.2,5689.157,1260.0,,2.41,,0.22,5766.0,1.04,17.2
899,HD 202696 b,,634.38868,517.8,,1.566,,0.011,5040.0,6.43,
900,HD 202696 c,,592.43512,946.6,,2.342,,0.028,5040.0,6.43,
901,HD 202772 A b,17.317905,323.23311,3.308958,2132.0,0.05208,3440.0,0.038,6272.0,2.591,0.343
902,HD 203030 b,14.4595851,3496.112477,,1040.0,487.1,,,5603.0,0.856458,6.35
903,HD 20329 b,1.72,7.42,0.926118,2141.0,0.018,3474.0,0.0,5596.0,1.13,8.06
904,HD 203387 b,13.1,1106.04285636,512.5352,,1.771,,0.732,5174.32,10.5852,2.7
905,HD 203387 c,12.6,2378.9456264,2481.07227,,5.067,,0.202,5174.32,10.5852,6.53
906,HD 2039 b,12.7,1999.1507,1120.0,,2.2,,0.71,5945.0,1.19,5.36
907,HD 204313 b,12.9,1466.7780983,2041.11539,,3.185,,0.1,5767.0,1.1,3.75
908,HD 204313 c,4.31,17.16273398,34.95875,,0.211,,0.059,5767.0,1.1,1.18
909,HD 204313 e,12.2,4868.17771002,7325.64666,,7.457,,0.253,5767.0,1.1,14.7
910,HD 204941 b,10.1,73.1009,1733.0,,2.55,,0.37,5026.0,0.78,0.39
911,HD 205158 b,13.9,124.58873554,25.33798,,0.177,,0.145,6133.55,1.87741,0.255
912,HD 205739 b,13.6,435.41,279.8,,0.896,,0.27,6176.0,1.33,0.951
913,HD 206255 b,6.47,34.2,96.045,,0.461,,0.23,5635.0,2.221489,0.694
914,HD 206610 b,13.4,647.10188,673.2,,1.74,,0.1,4842.0,6.12,1.48
915,HD 206893 b,14.01122587,8899.195396,9350.0,1429.2,9.6,,0.14,6500.0,1.31116,17.8
916,HD 206893 c,16.36511182,4036.4207689,2090.0,1181.9,3.53,,0.41,6500.0,1.31116,5.06
917,HD 207496 b,2.25,6.1,6.441008,743.0,0.0629,72.9,0.231,4819.0,0.769,3.17
918,HD 20781 b,1.21,1.93,5.3135,,0.0529,,0.1,5256.0,0.833609,5.99
919,HD 20781 c,2.17,5.33,13.8905,,0.1004,,0.09,5256.0,0.833609,2.87
920,HD 20781 d,3.25,10.61,29.158,,0.1647,,0.11,5256.0,0.833609,1.7
921,HD 20781 e,3.83,14.03,85.5073,,0.3374,,0.06,5256.0,0.833609,1.37
922,HD 20782 b,13.6,472.83,597.0643,,1.3649,,0.95,5782.13,1.12681,1.03
923,HD 207832 b,14.2,177.9848,160.07,,0.586,,0.197,5726.0,0.89,0.342
924,HD 207832 c,14.0,232.0159,1155.7,,2.112,,0.27,5710.0,0.901,0.465
925,HD 207897 b,2.34302132,14.8,16.20166,581.75,0.117,26.5,0.0,5106.0,0.7827,6.29
926,HD 20794 b,1.45,2.7,18.314,660.0,0.1257,,0.064,5368.0,0.93,4.87
927,HD 20794 d,2.04,4.8,89.68,388.0,0.3625,,0.077,5368.0,0.93,3.11
928,HD 20794 e,2.03,4.77,147.02,,0.509,,0.29,5401.0,0.93,3.13
929,HD 20794 f,2.28,5.82,647.6,,1.3541,,0.45,5368.0,0.93,2.7
930,HD 208487 b,14.3,146.20106722,129.36,,0.53,,0.37,6134.0,1.16,0.275
931,HD 208527 b,12.5,3146.4,875.5,,2.1,,0.08,4035.0,51.1,8.85
932,HD 20868 b,13.7,397.2875,380.85001,,0.95,,0.75,4802.0,0.76,0.849
933,HD 208897 b,,,,,,,,,,
934,HD 209458 b,15.58051,232.0159,3.52474859,1459.0,0.04707,587.098,0.0,6091.0,1.19,0.362
935,HD 210193 b,14.3,153.1,649.918,,1.487,,0.24,5790.0,1.05971,0.288
936,HD 210277 b,13.6,410.0007,442.19,,1.13,,0.48,5538.0,1.07,0.896
937,HD 210702 b,13.6,481.5100366,355.5,,1.079,,0.071,4912.0,4.54,1.05
938,HD 211403 b,12.8,1760.76937478,223.8,380.0,0.768,3.44,0.084,6273.0,1.206,4.61
939,HD 211810 b,14.0,212.9461,1558.0,,2.656,,0.68,5652.0,1.13,0.426
940,HD 211970 b,3.66,13.0,25.201,,0.143,,0.15,4127.0,0.574175,1.46
941,HD 212301 b,14.2,162.0933,2.24571,,0.03,,0.0,6239.0,1.16,0.311
942,HD 212771 b,13.3,759.6137,380.7,,1.19,,0.076,5003.0,5.27,1.77
943,HD 213240 b,12.8,1655.88600047,882.70001,,1.89,,0.42,5979.0,1.51,4.34
944,HD 213472 b,13.1,1112.3994245,17000.0,,13.0,,0.53,5729.54,1.433902,2.72
945,HD 213519 b,2.99,9.2170238,11.12214,,0.099,,0.413,5840.0,1.08287,1.89
946,HD 213885 b,1.745,8.83,1.008035,2128.0,0.02012,1882.94,0.0,5978.0,1.1011,9.15
947,HD 213885 c,4.71,19.95,4.78503,1265.4,0.056798,,0.0,5978.0,1.1011,1.05
948,HD 21411 b,9.52,65.9,84.288,,0.362,,0.4,5605.0,0.825605,0.42
949,HD 214823 b,12.1,5914.78665427,1854.84424,,3.08,,0.161,6215.0,2.04,18.3
950,HD 215152 b,,565.41673605,5.75999,,0.057638,,0.0,4935.0,0.73,
951,HD 215152 c,,468.79690033,7.28243,,0.067393,,0.0,4935.0,0.73,
952,HD 215152 d,,770.41605857,10.86499,,0.08799,,0.0,4935.0,0.73,
953,HD 215152 e,,975.41538108,25.1967,,0.15417,,0.0,4935.0,0.73,
954,HD 21520 b,2.697,17.7,25.1292,637.0,0.1726,25.7431,0.0,5871.0,1.044,1.35
955,HD 215497 b,,1588.82420659,3.93404,,0.05,,0.16,5110.0,0.85,
956,HD 215497 c,13.0,111.23994245,566.0,,1.31,,0.47,5113.0,0.85,0.278
957,HD 216435 b,13.7,400.4,1311.0,,2.56,,0.07,5999.0,1.800029,0.856
958,HD 216437 b,13.0,1334.8793094,1359.0,,2.57,,0.31,5909.0,1.394,3.34
959,HD 216520 b,3.18,10.26,35.45,,0.198,,0.09,5103.0,0.76,1.75
960,HD 216520 c,3.03,9.44,154.43,,0.528,,0.12,5103.0,0.76,1.86
961,HD 216536 b,13.8,333.7215,148.60001,,0.61,,0.38,4639.0,9.83,0.698
962,HD 216770 b,14.1,181.1631,118.45,,0.46,,0.37,5399.0,0.93,0.355
963,HD 21693 b,2.8,8.23,22.6786,,0.1455,,0.12,5430.0,0.914378,2.06
964,HD 21693 c,4.34,17.37,53.7357,,0.2586,,0.07,5430.0,0.914378,1.17
965,HD 217107 b,13.6,459.57987652,7.1270166,,0.07359,,0.1284,5622.0,1.2245,1.0
966,HD 217107 c,12.9,1388.91013859,5138.7,,5.922,,0.3918,5622.0,1.2245,3.56
967,HD 21749 c,0.892,3.7,7.78993,701.0,0.0695,305.9425,,4640.0,0.695,31.93
