,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,pl_dens
3302,Kepler-1860 b,1.13863767,1.55,12.73719978,697.0,0.10625,56.3,0.0,5420.0,0.868,5.77
3303,Kepler-1861 b,2.20677414,5.5,40.0306015,617.0,0.24082,31.5,0.0,5855.0,1.373,2.81
3304,Kepler-1862 b,2.203,5.49,16.05730057,645.0,0.1199,41.04,0.0,5644.0,0.806,2.82
3305,Kepler-1863 b,2.26309256,5.74,44.99760056,508.0,0.23678,41.5,0.0,5871.0,0.983,2.72
3306,Kepler-1864 b,0.75408365,0.353,3.881510019,1156.0,0.049,427.6,0.0,5854.0,0.979,4.52
3307,Kepler-1865 b,1.57686072,3.11,2.524009943,1203.0,0.0344,495.14,0.0,5420.0,0.871,4.36
3308,Kepler-1866 b,2.08215108,4.99,11.66009998,834.0,0.1016,114.36,0.0,5791.0,1.083,3.04
3309,Kepler-1867 b,1.15985997,1.65,9.887359619,768.0,0.0872,82.32,0.0,5693.0,0.816,5.81
3310,Kepler-1868 b,3.14950109,10.1,211.0339966,215.0,0.62348,0.5,0.0,4658.0,0.686,1.78
3311,Kepler-1869 b,1.11955354,1.46,8.167360306,865.0,0.07976,138.5,0.0,5808.0,0.902,5.72
3312,Kepler-1869 c,0.74,0.33,1.716828304,1455.0,0.028,1056.84,0.0,5808.0,0.902,4.47
3313,Kepler-187 b,1.41,2.57,4.938864,1244.0,0.059,902.239,0.0,6105.0,1.287,5.04
3314,Kepler-187 c,2.67,7.61,10.640263,963.0,0.099,324.134,0.0,6105.0,1.287,2.2
3315,Kepler-1870 b,2.10143764,5.07,3.606940031,1046.0,0.0452,287.6,0.0,5508.0,0.84,3.0
3316,Kepler-1871 b,2.42172881,6.44,1.952700019,1403.0,0.0308,917.15,0.0,5741.0,0.946,2.49
3317,Kepler-1872 b,2.38421141,6.28,3.825910091,1005.0,0.0465,241.25,0.0,5223.0,0.885,2.55
3318,Kepler-1873 b,1.62573811,3.28,0.558842003,1787.0,0.0128,2412.15,0.0,5151.0,0.792,4.19
3319,Kepler-1874 b,2.21110724,5.52,56.57320023,356.0,0.2633,3.79,0.0,4701.0,0.775,2.81
3320,Kepler-1875 b,3.22686692,10.5,34.45859909,559.0,0.2039,23.05,0.0,6161.0,0.862,1.72
3321,Kepler-1876 b,0.853,2.4,6.99205,1299.0,0.0758,475.0,0.098,6104.0,1.477,19.0
3322,Kepler-1877 b,0.624086,0.179,2.377569914,1278.0,0.03472,691.1,0.0,5615.0,0.936,4.05
3323,Kepler-1878 b,2.92019781,8.86,4.445879936,1063.0,0.0521,302.6,0.0,5918.0,0.865,1.96
3324,Kepler-1879 b,2.06512018,4.92,10.61340046,987.0,0.0957,242.6,0.0,5865.0,1.388,3.07
3325,Kepler-188 b,1.68,3.46,2.061897,1463.0,0.032,1069.235,0.0,6021.0,1.141,4.01
3326,Kepler-188 c,3.19,10.3,5.996553,1025.0,0.066,257.348,0.0,6021.0,1.141,1.74
3327,Kepler-1880 b,2.11686218,5.13,6.309219837,606.0,0.054,31.73,0.0,4380.0,0.53,2.97
3328,Kepler-1881 b,2.98104391,9.17,159.3939972,289.0,0.53325,1.5,0.0,5135.0,0.874,1.9
3329,Kepler-1882 b,1.48674404,2.81,13.78730011,894.0,0.11636,122.1,0.0,5691.0,1.458,4.7
3330,Kepler-1883 b,3.25107395,10.6,103.427002,416.0,0.4438,7.08,0.0,6208.0,1.024,1.7
3331,Kepler-1884 b,1.81406781,3.95,8.988320351,864.0,0.0845,131.92,0.0,5984.0,0.906,3.64
3332,Kepler-1885 b,1.51110555,2.89,2.522559881,1205.0,0.036,499.07,0.0,5591.0,0.86,4.6
3333,Kepler-1886 b,2.58158428,7.18,24.2758007,580.0,0.16,26.68,0.0,5745.0,0.837,2.29
3334,Kepler-1887 b,2.92454357,8.88,19.94750023,625.0,0.1421,36.14,0.0,5749.0,0.864,1.95
3335,Kepler-1888 b,1.32578716,2.32,11.39169979,886.0,0.0956,145.67,0.0,5557.0,1.249,5.47
3336,Kepler-1889 b,2.94360686,8.98,37.30369949,493.0,0.2082,14.0,0.0,5646.0,0.817,1.93
3337,Kepler-189 b,1.21,1.92,10.399931,678.0,0.088,45.389,0.0,5235.0,0.75,5.96
3338,Kepler-189 c,2.38,22.7,20.134866,544.0,0.137,18.811,0.0,5235.0,0.75,9.25
3339,Kepler-1890 b,0.86867375,0.587,4.820590019,1328.0,0.05712,493.0,0.0,6046.0,1.396,4.92
3340,Kepler-1891 b,1.52139156,2.93,4.02229023,1017.0,0.0473,253.28,0.0,5516.0,0.827,4.57
3341,Kepler-1892 b,1.83707938,4.03,6.331230164,822.0,0.0633,108.04,0.0,5383.0,0.759,3.57
3342,Kepler-1893 b,1.70557445,3.55,4.179369926,1194.0,0.0504,478.98,0.0,5633.0,1.162,3.93
3343,Kepler-1894 b,1.20117759,1.87,2.762660027,1231.0,0.0385,544.05,0.0,5772.0,0.901,5.93
3344,Kepler-1894 c,1.21,1.92,5.05368985,1007.0,0.0576,243.06,0.0,5772.0,0.901,5.96
3345,Kepler-1895 b,2.11934728,5.14,6.070290089,789.0,0.0615,91.45,0.0,5076.0,0.763,2.97
3346,Kepler-1896 b,3.09935997,9.8,44.87020111,536.0,0.2529,19.5,0.0,6122.0,0.996,1.81
3347,Kepler-1897 b,2.81407954,8.32,24.22030067,505.0,0.1546,15.43,0.0,5165.0,0.761,2.05
3348,Kepler-1898 b,0.93353523,0.76,4.765620232,1167.0,0.05063,204.6,0.0,5702.0,1.125,5.13
3349,Kepler-1899 b,1.55098292,3.02,4.095779896,851.0,0.0457,124.3,0.0,4791.0,0.742,4.45
